miRNA,Tau_TCGA,TCGA_tissues,Tau_GTEx,GTEx_tissues,Delta_Tau,DE_n_projects_up,DE_n_projects_down,DE_median_log2fc,DE_median_padj,binom_p_up,binom_p_down,Binomial_result,CPM_GTEx_mean,CPM_GTEx_max,CPM_TCGA_mean,CPM_TCGA_max,TCGA_GTEx_log2FC,MW_statistic_TCGA_GTEx,TCGA_GTEx_p_value,TCGA_GTEx_padj,TCGA_GTEx_Direction,Specificity_class,Dysregulated_class
hsa-mir-101-3p,0.136,"Thorax [0.05], Thymus [0.05], Thyroid [0.04]",0.1,"Spleen [0.04], Ovary [0.04], Liver [0.04]",0.036,1,3,-0.692,3.10e-07,9.38e-01,3.12e-01,NS,1452.263,2757.377,21869.397,64620.409,3.576,48.0,1.89e-07,9.19e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-126-3p,0.135,"Bone Marrow [0.05], Kidney [0.05], Thyroid [0.04]",0.178,"Lung [0.05], Spleen [0.05], Omentum [0.04]",-0.042,1,4,-0.858,6.20e-23,9.69e-01,1.88e-01,NS,13880.102,58761.191,5320.624,14955.304,-1.104,492.0,1.71e-03,2.93e-03,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-10b-5p,0.134,"Adrenal Gland [0.05], Kidney [0.05], Peritoneum [0.04]",0.246,"Kidney [0.05], Uterus–Cervix [0.05], Spleen [0.05]",-0.112,2,6,-0.922,4.91e-17,9.65e-01,1.45e-01,NS,6200.326,31599.482,76995.378,272398.306,4.336,14.0,4.90e-09,5.36e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-21-3p,0.134,"Mucosa [0.05], Lymph nodes [0.04], Esophagus [0.04]",0.388,"Kidney [0.06], Lung [0.06], Spleen [0.05]",-0.254,9,1,1.244,4.27e-12,1.07e-02,9.99e-01,UP,8.949,27.223,3730.828,9400.112,8.392,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,UPREGULATED
hsa-mir-143-3p,0.13,"Prostate [0.05], Stomach [0.04], Peritoneum [0.04]",0.152,"Esophagus [0.05], Bladder [0.04], Colon–Intestine [0.04]",-0.022,1,12,-1.357,7.53e-21,1.00e+00,1.71e-03,DOWN,132647.243,507181.629,127431.735,421448.893,0.225,303.0,6.85e-01,7.16e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-28-3p,0.129,"Lymph nodes [0.05], Bone Marrow [0.04], Esophagus [0.04]",0.122,"Esophagus [0.04], Bladder [0.04], Colon–Intestine [0.04]",0.007,0,4,-0.648,5.48e-17,1.00e+00,6.25e-02,NS,867.461,1816.263,6711.764,10509.907,3.023,4.0,1.55e-09,3.12e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30e-5p,0.128,"Bone Marrow [0.05], Lymph nodes [0.04], Thymus [0.04]",0.132,"Heart [0.04], Spleen [0.04], Kidney [0.04]",-0.004,1,2,-0.477,3.45e-12,8.75e-01,5.00e-01,NS,1890.65,4883.025,12944.211,36700.686,2.637,23.0,1.34e-08,1.10e-07,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-let-7b-5p,0.123,"Ovary [0.05], Thymus [0.04], Thorax [0.04]",0.087,"Skin [0.04], Omentum [0.04], Breast [0.04]",0.036,2,1,-0.361,2.52e-06,5.00e-01,8.75e-01,NS,23305.179,52326.483,29763.009,94811.746,0.235,280.0,4.02e-01,4.55e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-24-3p,0.123,"Mucosa [0.05], Lung [0.04], Pancreas [0.04]",0.078,"Heart [0.04], Skin [0.04], Lung [0.04]",0.045,1,0,-0.413,4.67e-07,5.00e-01,1.00e+00,NS,12613.835,23985.331,3303.119,8404.408,-1.967,621.0,2.58e-08,1.75e-07,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-145-5p,0.12,"Stomach [0.05], Prostate [0.04], Pancreas [0.04]",0.198,"Esophagus [0.05], Colon–Intestine [0.05], Bladder [0.04]",-0.077,1,11,-1.685,1.02e-18,1.00e+00,3.17e-03,DOWN,12707.851,56728.318,3093.954,7119.028,-1.489,517.0,3.08e-04,6.10e-04,GTEx_UP,Non-specific miR,DOWNREGULATED
hsa-mir-29a-3p,0.114,"Thyroid [0.04], Skin [0.04], Lymph nodes [0.04]",0.095,"Spleen [0.04], Brain [0.04], Kidney [0.04]",0.019,1,5,-0.684,6.79e-12,9.84e-01,1.09e-01,NS,9150.429,19905.291,12838.745,36924.83,0.522,194.0,1.39e-02,2.03e-02,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-152-3p,0.113,"Skin [0.04], Mucosa [0.04], Thyroid [0.04]",0.107,"Thyroid [0.04], Omentum [0.04], Skin [0.04]",0.006,1,2,-0.642,3.95e-08,8.75e-01,5.00e-01,NS,1336.858,2544.437,426.33,757.439,-1.661,593.0,4.65e-07,1.91e-06,GTEx_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30e-3p,0.113,"Bone Marrow [0.04], Lymph nodes [0.04], Thyroid [0.04]",0.172,"Heart [0.05], Spleen [0.04], Liver [0.04]",-0.059,1,5,-0.708,7.95e-12,9.84e-01,1.09e-01,NS,1024.388,3598.426,9144.79,22728.346,3.061,20.0,9.61e-09,8.81e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-148a-3p,0.11,"Liver–Gallbladder [0.04], Colon [0.04], Thymus [0.04]",0.172,"Pancreas [0.05], Stomach [0.04], Liver [0.04]",-0.062,4,5,0.5,1.28e-10,7.46e-01,5.00e-01,NS,124001.77,721495.891,63166.835,163692.968,-0.695,393.0,2.03e-01,2.43e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-532-5p,0.104,"Skin [0.04], Thorax [0.04], Soft Tissues [0.04]",0.181,"Kidney [0.05], Ovary [0.04], Spleen [0.04]",-0.078,3,1,-0.458,6.38e-09,3.12e-01,9.38e-01,NS,1139.163,4166.82,2112.7,4389.843,0.987,99.0,2.15e-05,5.50e-05,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-151a-3p,0.102,"Fallopian tube [0.04], Skin [0.04], Bladder [0.04]",0.092,"Whole Blood [0.04], Spleen [0.04], Adrenal Gland [0.04]",0.011,0,0,0.441,3.95e-10,–,–,NS,3567.505,7338.959,3886.298,8272.424,0.068,295.0,5.78e-01,6.17e-01,NS,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-30d-5p,0.089,"Skin [0.04], Lung [0.04], Kidney [0.04]",0.305,"Heart [0.05], Liver [0.05], Kidney [0.05]",-0.217,3,3,-0.106,3.17e-10,6.56e-01,6.56e-01,NS,85.613,380.492,18748.685,41174.135,7.95,0.0,9.70e-10,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-361-5p,0.088,"Bone Marrow [0.04], Skin [0.04], Thorax [0.04]",0.112,"Brain [0.04], Adrenal Gland [0.04], Kidney [0.04]",-0.025,0,0,0.278,1.97e-06,–,–,NS,220.096,392.968,659.248,1139.255,1.603,6.0,1.96e-09,3.21e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
hsa-mir-22-3p,0.074,"Liver–Gallbladder [0.04], Soft Tissues [0.04], Thyroid [0.04]",0.122,"Adrenal Gland [0.04], Heart [0.04], Liver [0.04]",-0.048,2,0,-0.293,2.50e-07,2.50e-01,1.00e+00,NS,8368.666,22353.702,121488.228,240308.228,3.926,2.0,1.23e-09,2.84e-08,TCGA_UP,Non-specific miR,NOT_SIGNIFICANT
