,mature_name,Tau_tcga,tcga_tissues
71,hsa-mir-944,0.6271196422260177,"Mucosa [0.10], Esophagus [0.10], Bladder [0.09]"
72,hsa-mir-487a-3p,0.6259418767023669,"Testis [0.10], Adrenal Gland [0.10], Peritoneum [0.08]"
73,hsa-mir-25-5p,0.6121412538453693,"Fallopian tube [0.10], Testis [0.07], Bone Marrow [0.07]"
74,hsa-mir-206,0.6114391287348401,"Mucosa [0.10], Soft Tissues [0.09], Uterus [0.08]"
75,hsa-mir-377-3p,0.605281250449306,"Testis [0.10], Adrenal Gland [0.09], Peritoneum [0.08]"
76,hsa-mir-615-3p,0.5981752977266791,"Kidney [0.09], Breast [0.07], Fallopian tube [0.07]"
77,hsa-mir-194-3p,0.5942897444394458,"Colon [0.09], Stomach [0.09], Esophagus [0.08]"
78,hsa-mir-383-5p,0.5916374519061298,"Thymus [0.09], Thorax [0.09], Brain [0.08]"
79,hsa-mir-192-3p,0.5915148415801914,"Colon [0.09], Stomach [0.09], Liver–Gallbladder [0.09]"
80,hsa-mir-433-3p,0.5858524854669829,"Adrenal Gland [0.09], Peritoneum [0.08], Thorax [0.07]"
81,hsa-mir-514a-3p,0.5831921153765944,"Skin [0.09], Adrenal Gland [0.09], Testis [0.08]"
82,hsa-mir-153-3p,0.5824565366698419,"Brain [0.09], Adrenal Gland [0.09], Peritoneum [0.06]"
83,hsa-mir-148b-5p,0.5801073763526798,"Fallopian tube [0.09], Colon [0.06], Ovary [0.05]"
84,hsa-mir-105-5p,0.5788407117696228,"Testis [0.09], Skin [0.08], Bladder [0.06]"
85,hsa-mir-509-3p,0.5783923264938738,"Skin [0.09], Adrenal Gland [0.08], Ovary [0.07]"
86,hsa-mir-34b-3p,0.5769699364650585,"Lung [0.09], Uterus [0.08], Thymus [0.07]"
87,hsa-mir-412-5p,0.5738673662294423,"Adrenal Gland [0.09], Peritoneum [0.07], Testis [0.07]"
88,hsa-mir-135a-5p,0.5698789177914042,"Thyroid [0.09], Kidney [0.07], Brain [0.07]"
89,hsa-mir-215-5p,0.5665782868419925,"Esophagus [0.09], Stomach [0.09], Pancreas [0.08]"
90,hsa-mir-411-3p,0.562794888191806,"Testis [0.09], Peritoneum [0.07], Adrenal Gland [0.07]"
91,hsa-mir-99a-3p,0.5580591988369366,"Fallopian tube [0.09], Brain [0.06], Ovary [0.05]"
92,hsa-mir-485-5p,0.5573584791614293,"Pancreas [0.09], Adrenal Gland [0.08], Fallopian tube [0.08]"
93,hsa-mir-10a-3p,0.5563246157721892,"Uterus [0.09], Fallopian tube [0.08], Kidney [0.08]"
94,hsa-mir-551b-3p,0.5545187366710477,"Thyroid [0.09], Testis [0.06], Brain [0.06]"
95,hsa-mir-671-3p,0.5529766528329348,"Fallopian tube [0.09], Ovary [0.07], Breast [0.06]"
96,hsa-mir-935,0.551693922371985,"Ovary [0.09], Brain [0.08], Testis [0.06]"
97,hsa-mir-323b-3p,0.5506608565157044,"Adrenal Gland [0.08], Testis [0.07], Peritoneum [0.07]"
98,hsa-mir-1-3p,0.5457697731784602,"Mucosa [0.08], Uterus [0.06], Pancreas [0.06]"
99,hsa-mir-655-3p,0.5444415920788476,"Testis [0.08], Adrenal Gland [0.07], Peritoneum [0.07]"
100,hsa-mir-654-5p,0.5381190906671268,"Testis [0.08], Adrenal Gland [0.08], Peritoneum [0.07]"
