mature_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,project_id,n_normal,n_tumor
hsa-mir-141-5p,2842.1310192392266,2.692446633554536,0.3552961654220297,7.578034596451049,3.5082885955581696e-14,1.6895179289135396e-13,TCGA-KICH,25,66
hsa-mir-142-3p,3552.6982210681526,0.4800408059200424,0.23169532788455557,2.0718622611122623,0.038278288308397856,0.05247136150139931,TCGA-KICH,25,66
hsa-mir-142-5p,104.3833401493513,0.4472421846470866,0.24675503767192242,1.8124946459724378,0.06990980046938894,0.08977890165542579,TCGA-KICH,25,66
hsa-mir-143-3p,238646.46218835717,-1.039248280680548,0.15983325669913706,-6.502077866290257,7.921807433863455e-11,2.8149335153340044e-10,TCGA-KICH,25,66
hsa-mir-143-5p,239.87596965381397,-1.0743699917867655,0.17102036435877374,-6.282117312841802,3.339926559848225e-10,1.1012730818959012e-09,TCGA-KICH,25,66
hsa-mir-144-3p,180.2894697351237,1.5633186006447712,0.31073463005237023,5.031040796390458,4.878243207730105e-07,1.2145830027409649e-06,TCGA-KICH,25,66
hsa-mir-144-5p,2122.9585869752937,1.7735895780140891,0.31341974598195044,5.65883164909536,1.524069648691296e-08,4.392200719850506e-08,TCGA-KICH,25,66
hsa-mir-145-3p,122.1622892081396,-1.3315298898202697,0.16686061636673769,-7.979893151621483,1.4646001796067516e-15,8.000651727404047e-15,TCGA-KICH,25,66
hsa-mir-145-5p,5098.388340577735,-1.6847804647907312,0.1857737151185927,-9.068992692078183,1.2012234552434757e-19,1.0224367084165398e-18,TCGA-KICH,25,66
hsa-mir-146a-5p,124.10951941049895,-0.4928742426794393,0.2697970003110915,-1.8268336642406213,0.06772478261491592,0.0878981221172313,TCGA-KICH,25,66
